grade,gradeVotesCount,ratingsAverage,hold_color,wall_name,ticksCount,inAt,outPlannedAt,font_grade
683,23,100.0,Black,Bullseye Slab,134,2025-01-13T12:49:20.658Z,2025-03-17T12:49:36.180Z,6c+
683,7,75.0,Candy Cane,The Cave,38,2025-01-17T11:39:18.655Z,2025-03-24T11:39:49.905Z,6c+
683,4,100.0,Lime,Steep Corner,43,2025-01-17T11:39:18.655Z,2025-03-24T11:39:49.905Z,6c+
683,18,93.0,Black,Chalice,151,2024-12-09T12:04:07.908Z,2025-01-31T12:04:30.877Z,6c+
700,5,75.0,Black,Steep Corner,27,2025-01-17T11:39:18.655Z,2025-03-24T11:39:49.905Z,7a
700,14,100.0,Black,The Duck,50,2024-12-16T12:48:27.455Z,2025-02-12T12:48:48.651Z,7a
700,57,88.0,White,Comp Wall,209,2025-01-08T13:48:48.350Z,2025-02-03T13:49:12.755Z,7a
700,11,100.0,Black,Steep Corner,52,2025-01-13T12:49:20.658Z,2025-03-17T12:49:36.180Z,7a
700,14,93.0,White,Prow,81,2025-01-12T19:08:06.185Z,,7a
700,8,85.0,White,Chalice,39,2024-12-09T12:04:07.908Z,2025-01-31T12:04:30.877Z,7a
700,25,96.0,Black,The Duck,145,2024-12-16T12:48:27.455Z,2025-02-12T12:48:48.651Z,7a
700,24,93.0,White,The Cave,59,2024-12-18T12:18:04.205Z,2025-02-24T12:18:29.871Z,7a
700,4,100.0,Black,Old Slab,23,2024-12-13T11:32:56.012Z,2025-02-10T11:33:18.110Z,7a
717,17,96.0,Candy Cane,Chalice,71,2024-12-10T14:31:27.942Z,2025-01-31T14:33:16.309Z,7a+
717,8,100.0,White,Chalice,43,2024-12-09T12:04:07.908Z,2025-01-31T12:04:30.877Z,7a+
717,14,93.0,White,Mini-Cave,70,2025-01-08T13:48:48.350Z,2025-02-03T13:49:12.755Z,7a+
717,15,100.0,Candy Cane,Prow,52,2025-01-10T15:55:02.272Z,,7a+
717,11,100.0,Black,Prow,52,2025-01-10T15:55:02.272Z,,7a+
717,11,90.0,Black,The Cave,42,2024-12-18T12:18:04.205Z,2025-02-24T12:18:29.871Z,7a+
717,6,,White,Prow,16,2025-01-10T16:04:27.012Z,,7a+
717,1,100.0,Black,Steep Corner,17,2025-01-17T11:39:18.655Z,2025-03-24T11:39:49.905Z,7a+
717,9,100.0,Black,Comp Wall,14,2025-01-08T13:48:48.350Z,2025-02-03T13:49:12.755Z,7a+
717,13,100.0,Candy Cane,Bullseye Slab,73,2025-01-13T12:49:20.658Z,2025-03-17T12:49:36.180Z,7a+
733,13,100.0,White,Old Slab,36,2024-12-13T11:32:56.012Z,2025-02-10T11:33:18.110Z,7b
733,3,,Candy Cane,Steep Corner,7,2025-01-17T11:39:18.655Z,2025-03-24T11:39:49.905Z,7b
733,19,100.0,White,The Duck,56,2024-12-16T12:48:27.455Z,2025-02-12T12:48:48.651Z,7b
750,6,100.0,Wood,Chalice,8,2024-12-10T14:31:27.942Z,2025-01-31T14:33:16.309Z,7b+
750,10,100.0,White,Steep Corner,18,2025-01-13T12:49:20.658Z,2025-03-17T12:49:36.180Z,7b+
750,10,100.0,White,Comp Wall,20,2025-01-08T13:48:48.350Z,2025-02-03T13:49:12.755Z,7b+
767,5,,Granite,Comp Wall,9,2025-01-16T09:49:00.979Z,2025-02-03T09:49:47.377Z,7c
767,3,,Wood,Comp Wall,2,2025-01-08T13:48:48.350Z,2025-02-03T13:49:12.755Z,7c
783,2,,White,Steep Corner,1,2025-01-17T11:39:18.655Z,2025-03-24T11:39:49.905Z,7c
